,Source,Author,Title,URL,date,content,full_text
0,Fox News,Andrew Miller,Democrat leader: 'un-American' 'MAGA Republicans' trying to 'crash' economy for 2024 political benefit,https://www.foxnews.com/politics/rep-jeffries-unamerican-maga-republicans-trying-crash-economy-their-political-benefit-2024,2023-05-30T20:14:42Z,"House Minority Leader Hakeem Jeffries suggested Tuesday that ""MAGA Republicans"" are attempting to ""crash"" the United States economy via debt ceiling negotiations because it is in their political inte… [+4349 chars]","House Minority Leader Hakeem Jeffries suggested Tuesday that ""MAGA Republicans"" are attempting to ""crash"" the United States economy via debt ceiling negotiations because it is in their political interest to do so. "
1,Fox News,Anders Hagstrom,Chris Christie takes major step toward announcing 2024 president bid: report,https://www.foxnews.com/politics/chris-christie-takes-major-step-announcing-2024-president-bid-report,2023-05-30T12:06:34Z,"Former New Jersey Gov. Chris Christie took a major step toward announcing a potential 2024 presidential campaign this week, as allies reportedly set up a super PAC to support his effort.
The PAC, ca… [+2284 chars]","Former New Jersey Gov. Chris Christie took a major step toward announcing a potential 2024 presidential campaign this week, as allies reportedly set up a super PAC to support his effort."
2,Fox News,Associated Press,"Greek Education Ministry target of cyberattack, most extensive in country's history",https://www.foxnews.com/world/greek-education-ministry-target-cyberattack-extensive-countrys-history,2023-05-30T16:22:54Z,"Greeces Education Ministry says it has been targeted in a cyberattack described as the most extensive in the countrys history, aimed at disabling a centralized high school examination platform.
It s… [+1690 chars]","Greece’s Education Ministry says it has been targeted in a cyberattack described as the most extensive in the country’s history, aimed at disabling a centralized high school examination platform."
3,Fox News,Houston Keene,"Biden's Dem opponent Robert F. Kennedy Jr sides with Elon Musk, vows to end 'censorship-industrial complex'",https://www.foxnews.com/politics/bidens-dem-opponent-robert-f-kennedy-jr-sides-elon-musk-vows-end-censorship-industrial-complex,2023-05-30T17:19:19Z,"r
Democrat presidential candidate Robert F. Kennedy, Jr.
 agreed with billionaire Twitter owner Elon Musks remarks on the social media company having ""no actual choice"" but to comply with governmen… [+2827 chars]","Democrat presidential candidate Robert F. Kennedy, Jr. agreed with billionaire Twitter owner Elon Musk’s remarks on the social media company having ""no actual choice"" but to comply with government censorship requests. "
4,Fox News,Paul Steinhauser,Potential 2024 Republican presidential contender moves a step closer to launching a campaign,https://www.foxnews.com/politics/potential-2024-republican-presidential-contender-moves-step-closer-launching-campaign,2023-05-30T15:25:48Z,"Long-time supporters and allies of former New Jersey Gov. Chris Christie are launching a super PAC to back his likely campaign for the 2024 Republican presidential nomination, Fox News has confirmed.… [+3209 chars]","Long-time supporters and allies of former New Jersey Gov. Chris Christie are launching a super PAC to back his likely campaign for the 2024 Republican presidential nomination, Fox News has confirmed."
5,Fox News,Chad Pergram,Now comes the hard part: Getting the debt ceiling deal through Congress,https://www.foxnews.com/politics/now-comes-hard-part-debt-ceiling-deal-congress,2023-05-30T01:52:43Z,"Now comes the hard part. 
If you thought it was hard for President Biden and House Speaker Kevin McCarthy, R-Calif., to marshal a debt ceiling deal, wait to see if its even more challenging to advan… [+8235 chars]",Now comes the hard part. 
6,Fox News,Aubrie Spady,NV Dems to fine schools $5k per day for not allowing biological males in girls sports,https://www.foxnews.com/politics/nv-dems-fine-schools-5k-per-day-not-allowing-biological-males-girls-sports,2023-05-30T15:52:25Z,Democrats in the Nevada legislature swiftly passed an amendment to penalize school boards that prevent biological males who identify as transgender from using women's locker rooms and competing on gi… [+2338 chars],Democrats in the Nevada legislature swiftly passed an amendment to penalize school boards that prevent biological males who identify as transgender from using women's locker rooms and competing on girls sports teams. 
7,Fox News,Yael Halon,DeSantis scorches 'totally inadequate' debt ceiling deal: We are 'careening toward bankruptcy',https://www.foxnews.com/media/desantis-scorches-totally-inadequate-debt-ceiling-deal-careening-toward-bankruptcy,2023-05-30T21:50:51Z,"Florida Governor and GOP presidential candidate Ron DeSantis ripped the bipartisan debt ceiling bill reached between House Speaker Kevin McCarthy, R-Calif. and President Biden as ""totally inadequate""… [+3243 chars]","Florida Governor and GOP presidential candidate Ron DeSantis ripped the bipartisan debt ceiling bill reached between House Speaker Kevin McCarthy, R-Calif. and President Biden as ""totally inadequate"" on Monday, arguing that it will do nothing to stop the country from ""careening toward bankruptcy."""
8,Fox News,"Rich Edson, Lawrence Richard",DeSantis to join 2024 Republican competitors at Sen. Ernst's Roast & Ride fundraiser in Des Moines,https://www.foxnews.com/politics/desantis-join-2024-republican-competitors-sen-ernsts-roast-ride-fundraiser-des-moines,2023-05-30T10:00:14Z,"Florida Gov. Ron DeSantis will join several other declared Republican presidential candidates at Sen. Joni Ernst's Roast &amp; Ride fundraiser in Des Moines on Saturday, an aide to Ernst told Fox New… [+2336 chars]","Florida Gov. Ron DeSantis will join several other declared Republican presidential candidates at Sen. Joni Ernst's Roast & Ride fundraiser in Des Moines on Saturday, an aide to Ernst told Fox News."
9,Fox News,"Michael Ruiz, Ashley Papa",Eunice Dwumfour murder: New Jersey police make arrest months after slaying of Republican councilwoman,https://www.foxnews.com/us/eunice-dwumfour-murder-new-jersey-police-make-arrest-months-after-slaying-republican-councilwoman,2023-05-30T20:37:15Z,"New Jersey authorities have arrested a 28-year-old Virginia man in connection with the February murder of a Republican councilwoman from Sayreville gunned down in her car outside her home.
Eunice Dw… [+2263 chars]",New Jersey authorities have arrested a 28-year-old Virginia man in connection with the February murder of a Republican councilwoman from Sayreville gunned down in her car outside her home.
